author,comment,likeCount,publishedAt
@ToRibaraYT,akhirnya ,2,2025-10-30T03:31:40Z
@AH-yz1bg,Udh fix hp idaman gua xiomi 17 njir...buat org estetik sangat berguna banget layar belakang,0,2025-10-31T03:41:02Z
@faizalrahmatnursaori1557,Jujur layarnya kayak tajem banget,0,2025-10-29T17:53:28Z
@yogipradana8364,Value hp iPhone ga kan bisa tergantikan bray,0,2025-10-29T17:05:24Z
@randywahidin,XIAOMI 20 PRO MAX ğŸ”¥ğŸ”¥ğŸ”¥ COMING SOON,0,2025-10-30T04:39:12Z
@lukmanulhakim8239,Ttep iphone sh kalo aku,0,2025-10-30T11:41:06Z
@rianopisial8864,Ipong ğŸ˜‚ğŸ˜‚ğŸ˜‚,0,2025-10-30T03:24:04Z
@arfinmarselino879,Bang review IQOO Z10 R,0,2025-10-29T17:51:46Z
@hiuwilliamhartono3897,dhiarcom uda lebih dulu review nih ...,0,2025-10-30T15:02:16Z
@miswangrandboy9135,Bang ada hp 2 jutaan ngk bang yang ngk kepakek biar saya beli bang,0,2025-10-30T01:53:19Z
@fauzandavilsa3383,Review realme 15 T bang,0,2025-10-30T09:56:25Z
@adidasleerrr,bang bahas Samsung A17 5G dong,0,2025-10-29T18:16:03Z
@userzzyb,Tapi jujur gue pengguna android pengen juga ngerasain pake iPhone apalagi IP 17 ğŸ˜­,0,2025-10-30T09:22:03Z
@Mayodut,"Yang gw denger Xiaomi 17 pro max ini ekslusif hanya di China karena persaingannya di negara mereka sendiri, jadi yang di infonya ga bakal keluar di Global, but idk tho",0,2025-10-29T18:06:27Z
@mochhanifkemalfirdaus2665,ğŸ”¥ğŸ”¥,0,2025-10-29T16:39:22Z
@MeguGumi,"Aku punya asumsi lain tentang kenapa Xiaomi langsung loncat ke seri 17 
Menurut itu mlh bentuk kekecewaan Xiaomi terhadap Apple 
Dalam benak Xiaomi ingin mengatakan 
"" Lo itu kiblatnya gadget bnyk orang tertarik Ama produk lu Napa di seri 17 ini gak ada inovasi, cuma hanya mengubah body belakang, seperti saya ( Xiaomi) Lo ada sedikit inovasi ""
ğŸ˜ Jgn masukin hati ya fans Apple, ini cuma opini gueâœŒï¸",0,2025-10-29T17:49:32Z
@SandjayaWamsa,Apple nasibnya akan seperti Blackberry dan Nokia karena kecanggihan XiaomiğŸ˜‚,0,2025-10-29T22:40:06Z
@ifulrozi808,Info Gcam bang ğŸ˜…,0,2025-10-30T00:00:02Z
@sandyboomer2256,30/10/2025ğŸ˜Š,0,2025-10-30T05:13:53Z
@cukupartono763,"Pabriknya sama2 china, pakai aja dan rasakan kenikmatannya",0,2025-10-30T11:48:17Z
@Drajadulutive,"akhirnya yang ku tunggu"" udah releaseâ¤",0,2025-10-30T09:24:04Z
@EthancoolGame,Udah mahal gak dapet kepala charger...,0,2025-10-31T04:15:56Z
@KajumaGT3,Xiaomi mau nyaingi Ipong,1,2025-10-31T04:00:05Z
@nononene3079,Xiaomi is the best.....,0,2025-10-30T03:17:40Z
@arbain_mu,"Harusnya docking icon juga diberi background smoke translucent biar mirip iPhone totalitas.

Kayak Vivo.",0,2025-10-30T13:06:01Z
@XinTing90,"Nama mirip malah malu kalau beli, di cengin kw an iphoneğŸ˜‚",1,2025-10-29T21:06:32Z
@Erikk5671,8:30 bro melupakan xiaomi mi 11 ultra,1,2025-10-30T08:01:10Z
@Panitia_Kiamat,"Udh pro"" An sekarang ya",0,2025-10-29T23:57:31Z
@Artphylios,Kok gk pernah riview laptop lagi bang,0,2025-10-30T05:22:08Z
@donutpillow4683,"Akhirmya diriview juga tipe ini, udh masuk indo blm yaaaa",0,2025-10-29T19:52:10Z
@ghoniayoon,tapi katanya xiaomi ini banyak kekurangan. kayak mau buat status di whatsapp jadi pecah banget. terus ga ada notifikasi nya juga. jadi agak susah kalo misalkan ada chat atau telepon dari whatsapp tapi notifnya ga muncul di layar utama.. kenapa bisa gitu ya?,0,2025-10-30T13:50:56Z
@nyaxz8439,Review barang aneh lg kapan,0,2025-10-29T22:38:58Z
@williamexpolene6744,Review Blackview Xplore 2 dong Bro.,0,2025-10-30T05:30:36Z
@luckmanli6893,warna hijau dari hp xiaomi tuh identik dengan warna hijau bambu karna berasal dari negara tirai bambu,0,2025-10-30T08:27:21Z
@kakashihatake-bv4ix,"Ini dia yang di tungguÂ² di channel gadgetin. Review xiaomi 17.
Walaupun sdh nnton review di sebelah, rasanya kurang aja kalau bukan david yg jelasin. Enak di dengar & mudah di mengerti, walau pun di kecepatan pemutaran 2x.",52,2025-10-29T15:37:14Z
@awandhk,teori anomali 4x4 sial kuadrat sepertinya masuk akal bang,0,2025-10-30T07:49:32Z
@MuhammadRayyan-x9z,ini yg ditunggu2,0,2025-10-30T12:33:22Z
@Poochfun148,"Tim cuma nyimak aja, karena ngga bakalan mampu beli ğŸ˜‚",0,2025-10-29T16:23:47Z
@deerpekatadeer4064,Lagi nunggu gadgetin review galaxy XRğŸ˜Š,0,2025-10-30T02:59:35Z
@frizlywarokka861,Lebih niru ke Mi 11 Ultra gak sih bang,0,2025-10-30T10:31:58Z
@milaniakinawatibayan8589,"6.05 : sy pikir tdk perlu berlebihan, walaupun terasa aneh, toh plastik itu biasanya lgsg dibuang atau kalau disimpan, nggak dipakai pakai lg.",0,2025-10-30T01:30:05Z
@serbaserbi9610,Sebenernya lebih bagus dari apple.. Tapi karena namanya 17 pro max jadi kesannya malah ngikut appleğŸ˜…,0,2025-10-29T15:09:46Z
@Zxy.AF_02,itu karna CEO XIAOMI mempunyai kekuatan sistem uang tanpa batas jadinya dia kepikiran buat samain namanya sama iphone,0,2025-10-30T09:45:44Z
@dyiono2409,"mimpi kali punya hp ini semoga yg komen di sini bisa kebeli, munkin bulan depan klo gk tahun depan atu tahun berikutnya stau secepatnya aminin aj ygy",0,2025-10-29T19:20:27Z
@thirdchild9586,bang bahas sony xperia 1 mark vii,0,2025-10-30T00:40:14Z
@ershanhasan10,Akhirnya,0,2025-10-30T01:33:07Z
@crowmrf02,4:08 apple mana bisa kyk gitu,0,2025-10-30T01:49:23Z
@mizanulhaq9098,Alhamdulillah masih pakai Xiaomi note 5,0,2025-10-31T03:16:10Z
@durikurchatov8130,"Semua barang di mata orang ini bagus, kajiannya kurang ilmiah hanya sekedar ngomong doang.",0,2025-10-29T22:54:13Z
@Randiazuro.89,"Xiomi udah dari jaman batu panas ğŸ˜‚,",0,2025-10-30T12:08:01Z
