author,comment,likeCount,publishedAt,label
@DrinarEvan,"Bang david, update video laptop terbaik di akhir 2025 dongg
udah hampir setaun nih belom update ",0,2025-10-30T15:54:31Z,positif
@MuhammadTeemu,"Kontennya bagus, berbagi informasi, inovatif, bermanfaat bagi semua orang. Keren ğŸ‰",1,2025-10-30T09:52:03Z,positif
@rayentchigga9917,keren,0,2025-10-30T11:09:56Z,positif
@zeemrauzi,"Otw nabung buat 17 pro max nya Xiaomi, bagus parah",0,2025-10-30T02:49:36Z,positif
@AnisLeguChannel,Mantul,1,2025-10-30T07:23:07Z,positif
@backtopurrrfectagain6681,Lebih keren modelnya Xiaomi.,0,2025-10-29T23:26:42Z,positif
@RasyaEfrinal-e2m,Saya lebih suka menyebutnya sindiran dari pada niruğŸ˜‚ğŸ˜‚,0,2025-10-30T06:37:46Z,positif
@kuzunohacompany8891,"23:55 wow, udh pake meta Ray-Ban aja nih ğŸ˜…",0,2025-10-29T15:01:29Z,positif
@effendilubis2534,keren nya xiaomi dari bran murah nya sampe flagsif nya charger nya sama bagus nya kulitas nya sama,0,2025-10-29T15:02:59Z,positif
@teguhprastyo1427,mantap,0,2025-10-31T02:25:25Z,positif
@aanefendi4207,"Ini ibarat tukang cover lagu yang dipuji kalo hasil cover nya lebih bagus dari penyanyi aslinya
Motor yang makin keren setelah di modifikasi
ğŸ˜…ğŸ˜…ğŸ˜…",0,2025-10-30T13:51:26Z,positif
@PascalZalvatore,"anak2 fomo: bagus sih, tapi gak bakalan di anggap kaya ğŸ¥²",0,2025-10-29T18:35:42Z,positif
@ArdibalanganBalangan,Bukan hp lipat tapi ada layar di belakang xiaomi mantap,0,2025-10-30T09:29:10Z,positif
@HuyThuy1dyxg_465,"Wow, â¤ğŒğğğ€ ğŸ’ğƒğŸ”´ bener-bener beda! Ceritanya mengalir, visualnya keren, dan untungnya bikin hati berbunga! ğŸ‘‘",0,2025-10-29T20:28:32Z,positif
@izzadfarly7083,"Bang david, compare dong Xiaomi 17 pro vs Pura 80 pro ğŸ™
Atau mgkin bagus mana antara 2 hp tersebut?",0,2025-10-30T15:16:24Z,positif
@minimilitia05,"21:35 Asli bang, gua harap semua hp ya bisa ada in fitur ini karena kebanyakan orang suka pake rear camera jadi bingung kalau foto bareng dan yg fotoin juga pingin ikut ke capture jadi ga bisa lihat foto, pas mau di jepret alhasil jadi sebagian ada yg ga masuk frame wkwkwk solusinya ya masih pake tripod sama bluetooth foto yg pake remote ğŸ˜‚",0,2025-10-30T02:46:52Z,positif
@tabranythoha4453,"bukannya tahun"" kemaren ada realme kl gk salah, yang belakang glossy bisa buat cermin. . . tapi ya designnya jd kurang bagus sih",0,2025-10-30T22:02:50Z,positif
@AlexJoko-n2n,"Mantap sih xiaomi, abis liat review ini gw beli iphone",0,2025-10-29T18:55:43Z,positif
@jerichoyusufa_,mantap,0,2025-10-30T18:48:39Z,positif
@vimi224lol,Jujur lebih suka Xiaomi 17 pro maxsih gw fiturnya banyak tapi kalah kencang sama iPhone sama design bagus unik ada layar belakanh,0,2025-10-29T16:00:31Z,positif
@_FedericoTalksWatches_.,"Intinya berarti ngefans tu xiaomi sama i phone,,,,jelas lah i phone terbaik di dunia",0,2025-10-30T08:30:20Z,positif
@yonirisqiyanto_,"Munculnya Iphone 17 Pro Max BenerÂ² Buat Aku Kecewa ğŸ˜‚ Soalnya Dari Dulu Aku Pengagum Produk Apple (walau belum pernah nyoba) ğŸ˜… Kayak Keren Gitu Inovasinya, Apalagi Iphone SE Gen 1 Behhhhhhh Keren Banget Sih Tu HpğŸ˜…",1,2025-10-30T02:37:13Z,positif
@Azzrhania,"Ini bner2 gebrakan xiaomi terbaik, dr model, kamera chipset",0,2025-10-31T03:24:42Z,positif
@Cukuptahu-j1r,Mantap dehhh,0,2025-10-30T14:03:40Z,positif
@audiocerita25,Bagus barangnya,0,2025-10-30T13:28:37Z,positif
@NobitaDoraemon-hu5pl,"Fitur yg ada kucing itu lucu sih, pasti para betina suka dgn hp kaya gini.. ğŸ˜‚",0,2025-10-30T03:37:51Z,positif
@DianNasir,WowğŸ˜®,1,2025-10-30T18:41:11Z,positif
@mrsrielix1077,Tetep bang mau sekeren apaapun lawan ny  tetep xiaomi di hati .. ğŸ˜‚,0,2025-10-30T14:22:58Z,positif
@galuhtarysta,"Buat orang orang yang biasanya suka nempel foto idol, ataupun pasangannya dicase, nah sekarang gak perlu, beli aja xiaomi 17 pro max, kalian display tuh foto idol/pasangan kalian 24/7ğŸ˜",0,2025-10-30T09:01:18Z,positif
@XAnAse7en,"Gila sih, gw suka banget dengan design xiomi kali ini, berasa maju melesat meninggalkan kompetitor besar....cakepp lihatnya loh....",0,2025-10-29T16:48:30Z,positif
@pracasiaandri7555,"REVIEW BELAKANGAN DARI REVIEWER2 YG LAIN, NAMUN JUARANYA TETAP GADGETIN...MANTAP...",0,2025-10-29T23:33:26Z,positif
@Hilman_Alfarizi_,Pasukan Vivo mana nihğŸ˜‚,0,2025-10-30T03:03:45Z,positif
@RomawiCuy,"Gw suka bet ama desainnya kaya simple tapi elegan
Gada gimmick kaya led d backdoor yg kaya hp hp gemink

Apalagi kamera ama flash d bawah misah kaya memberi kesan apa gitu enak bet gw liat",3,2025-10-30T04:28:22Z,positif
@Arul1608,"oppo find x 9 dong bang, keren ni kayanya",1,2025-10-30T18:06:42Z,positif
@ydhamhmr,"sebagus apapun kameranya, semahal apapun hpnya, bakal ngeblur kalo buat status wağŸ—¿",0,2025-10-29T16:07:50Z,positif
@yunusalamsyah6192,Mungkin lebih bagus kalau xiaomi 17 pro max gk pkek kamera depan. Layarnya makin gk ada gangguan. Kalau mau selfi bisa pkek layar belakang,2,2025-10-30T14:55:37Z,positif
@yutaadi,"Pengalaman pke Leica di Huawei P30Pro cm bagus 3th awal. Stlh itu entah Huawei nya atau kameranya yg aging, hasil foto nya jd jelek bget .Ky dipaksa buat ganti HP.  Jd trust issue sm longevity nya Leica. Bagus di awal doank, ga bisa keep up smpe 5-6thn ky Samsung Note 20 Ultra.",0,2025-10-30T10:17:04Z,positif
@febyarief5581,Wih xiomi keren sich...,0,2025-10-30T01:30:55Z,positif
@WhySumatera,Mantapnyo jooossss uhuiyyyy ğŸ˜Š,1,2025-10-30T00:33:09Z,positif
@audiocerita25,Barang yang bagus kak,0,2025-10-30T13:28:57Z,positif
@FinnGerme-x3b,keren,0,2025-10-29T21:58:47Z,positif
@varenaurigayurioshi4836,Kenapa selalu nyontek desain iphone?? Padahal smartphone level premium dari china udah bagus bagus kog.,0,2025-10-30T06:44:23Z,positif
@teafrost3041,"soal inovasi mungkin udah bisa nyaingin ip yaa. 
tp kenapa tidak berpikir untuk nyaingin yang bikin orang-orang pilih iphone? kamera utama kamera depan ip semua nya bagus.
klo brand lain mungkin bisa nyaingin kamera utamanya, tapi kamera depan masih kalah dari ip.",0,2025-10-30T22:44:52Z,positif
@Krymoba,"Ini yg gua suka dari gadgetin, ngomongnya black blakan gak ada yg ditutupin soalny dia ngk di endors jugak Sampek dibilang , hp flagship panas kalo Chanel lain udah di luka puja nih hp",0,2025-10-30T13:01:23Z,positif
@abdulwahid-tv3yj,Jujur ini disain hp terbaik yg pernah gw lihat.... Layarnya bikin ngiler....,0,2025-10-30T05:02:22Z,positif
@hanifkasyfillah,"kayanya tahunÂ² ke depan china beneran mau merangin amerika cs.

selama ini cuma nyantai aja jadi supplier barang mewah yg di-rebranding ama yg ngeklaim produknya bagus.

selama ini ga ngelawan kalo dikatain barang china barang abal. dan sekarang kayanya beneran mau serius nyaingin pasar yg ada.",0,2025-10-30T14:08:51Z,positif
@AndikaSuryaHadiwinata,mantapppp,0,2025-10-29T15:13:59Z,positif
@zulle_kzr,"Mantep harganya lumayan terjangkau, terbaik Xiaomi",0,2025-10-30T13:42:11Z,positif
@kade1086,"Sebagus itu emang








Xiaomi 17pro Max â¤â¤â¤ nunggu resmi baru beli",0,2025-10-30T03:59:33Z,positif
@durikurchatov8130,"Semua barang di mata orang ini bagus, kajiannya kurang ilmiah hanya sekedar ngomong doang.",0,2025-10-29T22:54:13Z,positif
@JangOtek,wow,0,2025-10-31T01:48:13Z,positif
@MarianiIlham-w7t,mau nanya ka untuk xiaomi 17bpro max X vivo X300 pro bagus mana ka??,0,2025-10-30T04:03:32Z,positif
@yusufgani5035,Udh pake 2 minggu overall puas bgt,0,2025-10-30T03:16:47Z,positif
@RisalEksmt,"Gw kalo nonton gak butuh spek apa , yg peting kalo kameranya bagus oke lah , cuma semua hp penasaran kamerağŸ˜‚",0,2025-10-30T10:27:21Z,positif
@belsloveee,"bagus.tapi kenpa selalu nge copy paste si,kek gaada ide lain",0,2025-10-30T08:20:55Z,positif
@Daehan_Minguk,Mau sebagus apapun HP CHINA 15jt jelas mahal lah... hrga masuk akal dbwh 10jtğŸ˜…,0,2025-10-30T11:26:27Z,positif
@Raphzeaa,"""Kalau kualitas video walaupun bagus, tapi tidak bisa membuat iphone iri""
Keliru bg, bukan cuma kualitas video....  Keamanan, UI + OS, Jaminan Update termasuk efisiensi IOS yg justru membuat Somay bakso ini iri :3

sampai brandingan pun ikut2 an jir, sebangga itu mereka dijuliki AppleğŸ¤£ğŸ¤£",0,2025-10-30T16:54:57Z,positif
@ariefrachmanhakim825,"bang udah bahas Redmi K90 Pro Max dengan speaker ""Bose"" itu bang lebih menarik kerena jualan ""Audio"" bahas bang Redmi K90 Pro",0,2025-10-30T03:24:31Z,positif
@goelescapist8279,kerennn,0,2025-10-30T11:58:24Z,positif
@erwinytchannel3098,"Serame, sehype, dan sekeren apapun xiaomi 17 pro, percuma kalo ga dirilis global, gmn sih Xiaomi?",0,2025-10-29T15:41:10Z,positif
@ZakiHerlambang-c7u,"Keren banget â¤ğŒğğğ€ ğŸ’ğƒğŸ”´! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Mantap! ğŸ’–",0,2025-10-31T00:55:01Z,positif
@Naraeeu,Bang David bikin rekomendasi tws terbaik 2025 dong,0,2025-10-29T15:15:55Z,positif
@lilysiagian,"Bang, numpang komen disini. Tolong ya, Bang, rekomen HP2 terbaik sekarang yg masih ada slot micro SD nya. Masak beli HP baru mulu krn memori penuh ğŸ˜¢
Makasih, Bang",1,2025-10-30T09:34:35Z,positif
@PetaniYgBarokah,China kan suka niru,0,2025-10-29T21:07:31Z,positif
@itauzlifah1042,gacocok buat aku yg suka jatohin hp ğŸ˜¢,0,2025-10-30T03:17:44Z,positif
@vannsabilakhaq8104,wow,0,2025-10-29T16:23:57Z,positif
@keypanca,Ini yg terbaik ni HP.. Smoga secptnya dptkan ini hp... Gasssss,0,2025-10-29T17:41:03Z,positif
@Harmony77,Mantap,0,2025-10-30T23:38:40Z,positif
@aziyzaudiobojonegoro7437,mantap,0,2025-10-30T18:18:11Z,positif
@zieldchaos,banyak yg bilang xiaomi ngikut2 iphone pdhal release date ny aj hampir barengan.. dan xiaomi lebih keren ada layar ke2 di blakang ny.. ya kecuali memang klo ada orang dalem..,0,2025-10-29T15:36:16Z,positif
@SaveMendoan,"Apple mah brandingnya cuma buat para artis,pejabat sma cwe2 doang yg ga ngerti2 amat teknologi dan inovasi,mrka taunya gaya2an doang,klo iphone itu hp bagus hpnya orang kaya.maka nya rata2 iphone larisnya ya sama cwe2 doang.",0,2025-10-31T02:26:56Z,positif
@WidiyantoPutra-e9r,Aku suka hasil warna dri kameranya,0,2025-10-30T16:19:23Z,positif
@m.fauzanluthfi6872,buat rekomendasi hp terbaik sesuai range harga nya dong,1,2025-10-30T10:43:53Z,positif
@abanrenzy,wow,0,2025-10-30T03:10:58Z,positif
@viathrueafends4670,"Cina jaman black berry b aja ,, sekarang wow ,, walaupun os masih dr android",0,2025-10-29T20:21:03Z,positif
@rakaImsyaki-n7g,"09:45 â¤ğŒğğğ€ ğŸ’ğƒğŸ”´, terima kasih buat pengalaman seru! Ceritanya bikin mikir, visualnya keren abis! ğŸ’",0,2025-10-31T00:55:02Z,positif
@KucingLetoy,Hasil kameranya kerenn,0,2025-10-30T01:49:11Z,positif
@serbaserbi9610,Sebenernya lebih bagus dari apple.. Tapi karena namanya 17 pro max jadi kesannya malah ngikut appleğŸ˜…,0,2025-10-29T15:09:46Z,positif
@ZeroEffort21,"Mau fanboy apple, samsung atau xiaomi sama2 gak jelas. Dapet apa sih kalian dari ngejelekin brand lain dan mendewakan brand yang kalian suka ğŸ˜‚",0,2025-10-29T19:24:28Z,positif
@PRAMOEDJALVS29,Mantap,1,2025-10-30T07:03:34Z,positif
@MdAli-c6u1p,GK ada apa apanya aiphon SM xiomi 17 pro max ini . layarnya luas mantap hasil kameranya batrei juga besar dan ini anti air,0,2025-10-30T08:20:52Z,positif
@Bryantrip,Tapi asli keren bnget co xiomi 17 pro max,0,2025-10-30T01:06:48Z,positif
@prostaTOXIR,"Teknologi makin canggih, Xiaomi makin keren! Sambil nonton video ini, gue buka ğ˜½ğ™€ğ™ˆğŸ°ğ˜¿ sekalian cari hiburan.",0,2025-10-30T08:54:27Z,positif
@xxyrunna,"sebagai iphone user, emang iphone 17 pro  ini inovasi design nya ngawur banget sih wkwk masih suka design ip 16 pro/pro max nya sih",0,2025-10-30T00:59:42Z,positif
@muhamadfarhan1111,Samsung terbaik,0,2025-10-30T05:11:39Z,positif
@dzfikhar2648,Inovasi xiomi bukan baru di cina. Sblm smsung keluarin versi layar lipat. Brand meizu udah bikin 2 layar yg keren lebih keren dr xiomi ini. Jadi yaa....,0,2025-10-29T15:08:06Z,positif
@BintangOfficial_,bagus bang,0,2025-10-30T01:56:58Z,positif
@businesscorrie,"Pro max pada Xiaomi buka tiru iphone, Tetapi Xiaomi dengan sengaja nyindir Apple, Xiaomi juga mau kasi tau yang pro max itu harus Keren dan semaksima mungkin..bukan di skip kualitinya.. sekarang ramai yang meluahkan rasa tidak berpuas hati setelah beberapa hari beli iphone kerana kelemahan iphone 17 promax gak ada kualiti lagi dari segi material body nya..bukan saja mudah kemek malah mudah calar dan paling parah warna oren bisa nge pink setelah beberapa hari menggunakannya...jadi yang ingin beli hp ip17 pm..harus beli casing siap-siap kerana jika tidak pakai casing, kebarangkalian untuk kemek calar dan rosak amat tinggi kerana body nya aluminium yang sangat mudah kemek..",0,2025-10-29T20:17:45Z,positif
@ahmadfauzuddin5697,jauh lebih bagus camera yang di kacamata itu bang david ğŸ˜‚,0,2025-10-30T09:54:48Z,positif
